"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0008150","biological_process","BP",13214,4433,4630,5.95966993197257e-10,0.000182615394867215
"GO:0000003","reproduction","BP",1054,385,370,0.0020533954938032,0.314656105716913
"GO:0000255","allantoin metabolic process","BP",7,0,7,1,0.000565995826774014
"GO:0001666","response to hypoxia","BP",238,92,80,0.024320115061783,0.622531060461174
"GO:0001701","in utero embryonic development","BP",338,112,117,0.411928567349429,0.483571717559908
"GO:0001775","cell activation","BP",898,298,332,0.324651810156167,0.050347554009832
"GO:0001776","leukocyte homeostasis","BP",98,34,31,0.352062724046248,0.749864942569782
"GO:0001782","B cell homeostasis","BP",33,11,13,0.521766483651479,0.330383625807845
"GO:0001783","B cell apoptotic process","BP",25,6,9,0.869592461741019,0.506890397251106
"GO:0001824","blastocyst development","BP",100,36,35,0.254045960023171,0.48528814789176
"GO:0001825","blastocyst formation","BP",36,12,14,0.517066282863222,0.341014838429736
"GO:0001829","trophectodermal cell differentiation","BP",15,3,9,0.909764032957394,0.0375584302178545
"GO:0001889","liver development","BP",113,38,42,0.428383586614518,0.296464566442983
"GO:0001890","placenta development","BP",122,39,40,0.578783853800912,0.676809297373371
"GO:0001973","G protein-coupled adenosine receptor signaling pathway","BP",9,3,3,0.600692842698899,0.648116307395431
"GO:0002027","regulation of heart rate","BP",71,20,28,0.814589842406497,0.217903643340297
"GO:0002250","adaptive immune response","BP",367,135,123,0.0419294012882584,0.656314865445959
"GO:0002252","immune effector process","BP",486,179,149,0.0210483017801522,0.965002996229674
"GO:0002253","activation of immune response","BP",424,136,160,0.583416554122926,0.0780065536870808
"GO:0002260","lymphocyte homeostasis","BP",68,23,26,0.448787902926695,0.290388899709805
"GO:0002263","cell activation involved in immune response","BP",245,84,73,0.288658287864735,0.945248960419183
"GO:0002285","lymphocyte activation involved in immune response","BP",171,56,53,0.494750736959079,0.84554280515706
"GO:0002312","B cell activation involved in immune response","BP",81,22,23,0.873233519911015,0.896483269224256
"GO:0002313","mature B cell differentiation involved in immune response","BP",28,7,8,0.852459901953086,0.799445522618562
"GO:0002314","germinal center B cell differentiation","BP",8,3,1,0.509772210206764,0.965638715272479
"GO:0002335","mature B cell differentiation","BP",34,10,10,0.707185924610007,0.783166307063051
"GO:0002366","leukocyte activation involved in immune response","BP",241,82,72,0.320876866442963,0.940771473150647
"GO:0002376","immune system process","BP",1948,652,694,0.157363957944822,0.113189780234203
"GO:0002429","immune response-activating cell surface receptor signaling pathway","BP",237,77,92,0.51854132840901,0.0844835515541219
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",255,98,78,0.0243508713836102,0.91249148237813
"GO:0002467","germinal center formation","BP",13,3,7,0.846051428118258,0.119257309513649
"GO:0002520","immune system development","BP",172,56,55,0.515949360747093,0.771286955379539
"GO:0002521","leukocyte differentiation","BP",513,179,175,0.124141860485756,0.567698528120067
