gene_symbol,logFC,logCPM,PValue,FDR
TNFAIP6,15.9930871512358,9.1814674521794,0,0
ADORA2A,10.4566661360002,7.47275186515517,0,0
CXCL8,13.1017173630148,12.2967865663806,3.56448682369457e-315,1.99516209144947e-311
CRIM1,8.82311602763762,8.0784798675576,4.62959944569369e-306,1.94350584730221e-302
DNAAF1,9.91901215905963,7.56240977945258,2.56901773613547e-292,8.62778916503735e-289
ZC3H12A,6.43133071216744,8.92575199005173,1.91566846055098e-277,5.36131746492868e-274
ELOVL7,8.19800982732382,8.11089001798219,2.51017428691936e-275,6.02154951799285e-272
NFKBIZ,7.41619087505717,9.52044683444536,3.35770981916449e-273,7.04783291042627e-270
CXCL2,11.0399489966165,8.93325553773621,6.49415797785908e-272,1.21166556404677e-268
NFKB1,6.21745399944227,10.4487654361751,8.37992384368692e-254,1.40715681183191e-250
SOD2,8.81824838449156,13.7329552713297,4.9843684562347e-236,7.60886501064483e-233
SLC2A6,6.63280943620502,9.46642590846464,3.14507344598125e-228,4.40100610874309e-225
BCL2A1,10.3397875571743,6.72760480020651,9.53110730614116e-225,1.23112579911325e-221
MIR9-1HG,8.45180402574228,6.68564596989275,6.18025136330769e-224,7.41277006376162e-221
MIR3142HG,8.35934797739603,5.45690015302425,2.79544027587991e-223,3.12940220750503e-220
CCL4,13.5601270944628,9.5629851907976,7.47501237720777e-211,7.84502548987956e-208
CXCL3,13.6817490707594,6.86771623299129,6.12062267748547e-206,6.04573505884329e-203
GCH1,5.6611405651631,6.93376361478999,1.0703193219917e-205,9.98489003049145e-203
CLEC4E,10.8709059712557,4.92730371224674,9.46184608593998e-204,8.3622799723739e-201
MCTP1,5.30356921531777,7.6933284877779,2.49856506797189e-197,2.0977952310692e-194
SDC4,6.22748023514776,8.87082731037496,2.78667497094707e-193,2.22827838629253e-190
ZBTB10,7.48372007185221,10.8541525902069,7.36604115908873e-192,5.62229832470082e-189
KDM6B,6.72413576474134,8.9810402365249,1.14165451586052e-190,8.33507070883904e-188
CCL4,11.4703733367104,5.15426201638614,7.18831138073409e-190,5.02942186272028e-187
ANKRD33B,4.77336806140313,7.58515159495208,4.73986708674794e-188,3.18367392482685e-185
CCL20,12.7207479142024,9.23035783796978,5.42241425845749e-177,3.50204539338531e-174
IRAK2,8.3754933881692,8.68507325488791,4.19612509307195e-174,2.60967898380979e-171
GRAMD1A,4.43529685748152,8.88461568588211,6.00726231117491e-173,3.60264102604461e-170
TNFAIP2,5.22965600633867,11.2510096723971,5.49981358049817e-172,3.18458171185259e-169
PRECSIT,6.52335098951607,5.69040062025973,1.16939131681985e-166,6.54547299734632e-164
MFSD2A,4.9097165120709,12.3342255308872,8.20406809397949e-166,4.44395843335818e-163
SOCS3,7.75136759985399,8.40057817620708,4.01846964691814e-164,2.1086919472203e-161
ICAM1,11.0216070887966,10.6322870258556,8.25667120976266e-161,4.20139463497983e-158
BCL9L,4.50007303018934,8.17739316901645,1.07717300810448e-157,5.31996739767363e-155
