geneID,gene_symbol,GSM6290462,GSM6290463,GSM6290464,GSM6290466,GSM6290467,GSM6290468
ENSG00000000003,TSPAN6,125,66,44,38,48,81
ENSG00000000005,TNMD,0,0,0,0,0,0
ENSG00000000419,DPM1,1878,1473,1598,2834,2637,3662
ENSG00000000457,SCYL3,536,465,501,996,1106,1468
ENSG00000000460,C1orf112,961,930,969,627,692,802
ENSG00000000938,FGR,1266,737,471,1064,950,2491
ENSG00000000971,CFH,5,0,2,1,5,24
ENSG00000001036,FUCA2,3752,3834,3626,1936,2323,2404
ENSG00000001084,GCLC,943,736,585,1234,1401,1416
ENSG00000001167,NFYA,3661,4048,4550,5133,3757,4734
ENSG00000001460,STPG1,480,362,420,311,333,372
ENSG00000001461,NIPAL3,1245,1134,1327,259,438,384
ENSG00000001497,LAS1L,4218,4639,4462,1020,1268,1543
ENSG00000001561,ENPP4,745,575,581,2625,2527,3392
ENSG00000001617,SEMA3F,405,461,374,37,104,165
ENSG00000001626,CFTR,2,0,1,0,3,0
ENSG00000001629,ANKIB1,1278,1239,1392,711,875,1069
ENSG00000001630,CYP51A1,3403,2322,3270,2895,3792,3132
ENSG00000001631,KRIT1,2057,1607,1935,1619,1938,1831
ENSG00000002016,RAD52,441,471,396,114,216,211
ENSG00000002330,BAD,634,786,550,280,326,369
ENSG00000002549,LAP3,2824,2819,2727,5885,5179,7211
ENSG00000002586,CD99,5355,3674,4090,7530,7060,7969
ENSG00000002587,HS3ST1,37,14,26,8,5,6
ENSG00000002726,AOC1,1588,1990,1479,786,1179,1990
ENSG00000002745,WNT16,0,0,0,0,0,0
ENSG00000002746,HECW1,31,62,39,29,51,34
ENSG00000002822,MAD1L1,2608,1944,1768,452,677,561
ENSG00000002834,LASP1,8116,6719,6943,1748,2025,2720
ENSG00000002919,SNX11,1573,1732,1234,27310,26977,20832
ENSG00000002933,TMEM176A,36,59,35,11,34,51
ENSG00000003056,M6PR,5236,5586,5133,5997,6014,6174
ENSG00000003096,KLHL13,291,134,165,19,32,25
ENSG00000003137,CYP26B1,87,14,52,81,87,93
ENSG00000003147,ICA1,851,519,599,301,312,283
ENSG00000003249,DBNDD1,174,127,127,17,26,17
ENSG00000003393,ALS2,877,646,695,1096,1056,972
ENSG00000003400,CASP10,1271,629,701,1725,1842,2122
ENSG00000003402,CFLAR,4692,3607,3417,52662,55814,71423
ENSG00000003436,TFPI,119,84,119,118,116,235
ENSG00000003509,NDUFAF7,634,644,473,459,476,565
ENSG00000003756,RBM5,10221,7630,7387,17606,20010,17317
ENSG00000003987,MTMR7,74,51,58,33,27,54
ENSG00000003989,SLC7A2,318,239,234,8593,7455,11855
ENSG00000004059,ARF5,2428,1834,1623,1429,1706,1584
ENSG00000004139,SARM1,248,211,143,21,29,48
ENSG00000004142,POLDIP2,3029,3454,3291,1091,1410,1444
ENSG00000004399,PLXND1,2838,2301,2836,1130,713,1599
ENSG00000004455,AK2,16630,19561,19967,5923,7591,6190
ENSG00000004468,CD38,599,802,777,627,944,1556
ENSG00000004478,FKBP4,887,1990,1605,5834,5175,5447
ENSG00000004487,KDM1A,4805,5405,4294,2619,2649,2929
ENSG00000004534,RBM6,5371,4546,4515,2514,3430,3624
ENSG00000004660,CAMKK1,178,198,86,36,44,43
ENSG00000004700,RECQL,1994,1613,2196,710,900,1595
ENSG00000004766,VPS50,733,760,759,341,264,374
ENSG00000004776,HSPB6,15,6,10,1,1,6
ENSG00000004777,ARHGAP33,4624,2693,3644,571,685,845
ENSG00000004779,NDUFAB1,1686,2499,1872,684,824,906
ENSG00000004799,PDK4,255,118,151,55,72,61
ENSG00000004809,SLC22A16,2030,1882,2109,248,355,344
ENSG00000004838,ZMYND10,99,50,83,8,12,19
ENSG00000004846,ABCB5,27,26,17,12,19,10
ENSG00000004848,ARX,134,93,77,6,14,2
ENSG00000004864,SLC25A13,866,811,768,1168,1576,1162
ENSG00000004866,ST7,901,939,705,662,731,810
ENSG00000004897,CDC27,4664,4392,4699,4409,4780,5258
ENSG00000004939,SLC4A1,54,38,49,35,50,46
ENSG00000004948,CALCR,0,0,0,0,0,0
ENSG00000004961,HCCS,749,933,799,1359,1640,1594
ENSG00000004975,DVL2,1450,1014,1249,268,261,262
ENSG00000005001,PRSS22,2,0,0,0,0,0
ENSG00000005007,UPF1,6176,6937,5731,6985,8287,8330
ENSG00000005020,SKAP2,2960,2500,3192,1975,2516,1829
ENSG00000005022,SLC25A5,15180,14201,14122,3616,4463,5484
ENSG00000005059,MCUB,50,34,42,6,8,17
ENSG00000005073,HOXA11,1339,924,924,591,715,570
ENSG00000005075,POLR2J,1702,1741,1644,1075,1185,1046
ENSG00000005100,DHX33,971,1066,998,563,528,764
ENSG00000005102,MEOX1,0,0,0,0,0,0
ENSG00000005108,THSD7A,6128,4171,4703,960,1226,1517
ENSG00000005156,LIG3,1752,1890,2024,1082,1293,1187
ENSG00000005175,RPAP3,3083,2668,2756,3007,3025,2507
ENSG00000005187,ACSM3,72,74,56,36,46,71
ENSG00000005189,REXO5,1687,1429,1277,931,1151,986
ENSG00000005194,CIAPIN1,1981,2298,1831,1307,2015,1900
ENSG00000005206,SPPL2B,6209,5586,5200,1529,1898,2217
ENSG00000005238,FAM214B,1111,843,767,310,278,716
ENSG00000005243,COPZ2,417,327,192,74,80,123
ENSG00000005249,PRKAR2B,768,1078,868,219,212,198
ENSG00000005302,MSL3,1124,795,870,616,665,1055
ENSG00000005339,CREBBP,3173,2282,3050,12215,20952,17769
ENSG00000005379,TSPOAP1,1799,997,707,454,388,741
ENSG00000005381,MPO,194,196,316,25,10,13
ENSG00000005421,PON1,5,2,0,0,0,1
ENSG00000005436,GCFC2,1134,983,660,746,785,751
ENSG00000005448,WDR54,474,447,501,166,178,194
ENSG00000005469,CROT,199,208,203,32,21,24
ENSG00000005471,ABCB4,447,75,128,2323,2382,2660
ENSG00000005483,KMT2E,4170,2775,2896,12569,12887,14576
ENSG00000005486,RHBDD2,1662,1004,963,1469,1531,2211
ENSG00000005513,SOX8,0,0,1,0,4,0
ENSG00000005801,ZNF195,2254,1897,1596,1997,2211,2164
ENSG00000005810,MYCBP2,5914,6355,5618,7054,8356,8758
ENSG00000005812,FBXL3,2110,1811,1724,4193,4921,4330
ENSG00000005844,ITGAL,4985,3271,2727,494,919,806
ENSG00000005882,PDK2,1090,840,869,139,183,104
ENSG00000005884,ITGA3,348,180,121,94,208,118
ENSG00000005889,ZFX,1771,1296,1426,3126,3963,5757
ENSG00000005893,LAMP2,8494,7844,8490,6640,7710,7791
ENSG00000005961,ITGA2B,277,81,103,60,54,35
ENSG00000005981,ASB4,9,4,4,7,4,0
ENSG00000006007,GDE1,2506,2863,2304,786,1106,741
ENSG00000006015,REX1BD,998,1027,890,348,489,382
ENSG00000006016,CRLF1,6,6,3,3,9,4
ENSG00000006025,OSBPL7,1625,1385,1257,168,214,580
ENSG00000006042,TMEM98,29,42,11,18,58,36
ENSG00000006047,YBX2,42,14,12,0,13,3
ENSG00000006059,KRT33A,7,13,13,1,0,0
ENSG00000006062,MAP3K14,368,269,223,1367,1357,2506
ENSG00000006071,ABCC8,0,0,0,0,0,1
ENSG00000006116,CACNG3,0,0,0,4,1,0
ENSG00000006118,TMEM132A,19,38,26,82,63,149
ENSG00000006125,AP2B1,7129,5843,6737,3439,3721,4325
ENSG00000006128,TAC1,0,0,0,0,0,0
ENSG00000006194,ZNF263,2933,2417,2176,2154,2650,2669
ENSG00000006210,CX3CL1,31,27,32,20,29,29
ENSG00000006282,SPATA20,3629,2233,2230,727,889,1080
ENSG00000006283,CACNA1G,23,3,5,36,38,81
ENSG00000006327,TNFRSF12A,62,78,41,406,294,382
ENSG00000006377,DLX6,15,11,8,3,1,0
ENSG00000006432,MAP3K9,71,71,67,67,59,52
ENSG00000006451,RALA,1336,1170,1046,1655,2280,2402
ENSG00000006453,BAIAP2L1,233,146,160,2498,2656,2386
ENSG00000006459,KDM7A,203,117,54,965,471,948
ENSG00000006468,ETV1,56,87,102,8,11,20
ENSG00000006530,AGK,855,700,777,739,749,1432
ENSG00000006534,ALDH3B1,3284,2559,2616,284,292,391
ENSG00000006555,TTC22,17,23,15,17,24,25
ENSG00000006576,PHTF2,832,868,789,499,494,417
ENSG00000006606,CCL26,0,0,1,1,0,9
ENSG00000006607,FARP2,1317,1820,1626,1141,1256,1306
ENSG00000006611,USH1C,236,176,143,43,35,20
ENSG00000006625,GGCT,2091,2406,2020,650,699,635
ENSG00000006634,DBF4,1242,1342,1290,975,1301,1020
ENSG00000006638,TBXA2R,274,218,332,63,123,63
ENSG00000006652,IFRD1,1871,1403,1214,7278,6502,6782
ENSG00000006659,LGALS14,0,0,0,0,0,0
ENSG00000006695,COX10,350,442,430,431,602,580
ENSG00000006704,GTF2IRD1,580,646,485,173,408,408
ENSG00000006712,PAF1,2269,2103,2470,1947,2087,1894
ENSG00000006715,VPS41,1744,1330,2172,1543,1648,1913
ENSG00000006740,ARHGAP44,147,98,102,158,253,285
ENSG00000006744,ELAC2,1558,1571,1486,488,693,686
ENSG00000006747,SCIN,462,306,361,90,121,111
ENSG00000006756,ARSD,2565,1872,1905,1060,1349,1683
ENSG00000006757,PNPLA4,265,255,251,130,226,215
ENSG00000006788,MYH13,0,0,0,0,0,0
ENSG00000006831,ADIPOR2,4777,3406,3761,3635,4762,4513
ENSG00000006837,CDKL3,162,124,80,119,101,169
ENSG00000007001,UPP2,0,0,0,0,0,2
ENSG00000007047,MARK4,1275,1261,1172,2251,3068,2556
ENSG00000007062,PROM1,0,10,24,0,0,2
ENSG00000007080,CCDC124,1016,1400,1199,741,803,762
ENSG00000007129,CEACAM21,307,126,129,56,69,46
ENSG00000007168,PAFAH1B1,1879,1800,2088,4674,5521,5705
ENSG00000007171,NOS2,7,6,6,2,0,2
ENSG00000007174,DNAH9,27,8,3,4,11,21
ENSG00000007202,KIAA0100,12387,12250,10774,2808,3010,3631
ENSG00000007216,SLC13A2,0,0,0,0,0,1
ENSG00000007237,GAS7,2626,1277,1640,2249,2545,6175
ENSG00000007255,TRAPPC6A,1231,792,821,388,625,608
ENSG00000007264,MATK,419,431,223,77,88,116
ENSG00000007306,CEACAM7,0,0,0,0,0,0
ENSG00000007312,CD79B,170,129,107,20,32,15
ENSG00000007314,SCN4A,136,18,136,1,5,7
ENSG00000007341,ST7L,1048,965,1026,1283,1377,1675
ENSG00000007350,TKTL1,4270,2517,2618,2508,2780,2279
ENSG00000007372,PAX6,12,0,4,5,20,6
ENSG00000007376,RPUSD1,1390,2071,1300,210,218,308
ENSG00000007384,RHBDF1,578,522,284,2030,2213,1755
ENSG00000007392,LUC7L,1405,1536,1154,1550,1341,1764
ENSG00000007402,CACNA2D2,14,3,7,24,17,39
ENSG00000007516,BAIAP3,153,102,20,42,49,93
ENSG00000007520,TSR3,896,943,790,241,276,221
ENSG00000007541,PIGQ,2404,2158,2008,820,1018,1013
ENSG00000007545,CRAMP1,3164,2982,2524,5935,7632,6345
ENSG00000007866,TEAD3,262,114,101,89,180,121
ENSG00000007908,SELE,0,0,0,108,42,15
ENSG00000007923,DNAJC11,2741,3895,3116,2272,3327,3624
ENSG00000007933,FMO3,4,3,1,9,7,7
ENSG00000007944,MYLIP,768,827,818,496,629,672
ENSG00000007952,NOX1,5,0,0,0,0,0
ENSG00000008018,PSMB1,8412,8442,7711,4760,6084,5879
ENSG00000008056,SYN1,5,1,2,27,34,76
ENSG00000008083,JARID2,2319,1758,1920,591,730,888
ENSG00000008086,CDKL5,230,170,151,196,293,269
ENSG00000008118,CAMK1G,0,0,0,64,18,80
ENSG00000008128,CDK11A,2252,2033,1615,3370,3839,3293
ENSG00000008130,NADK,3697,3904,2958,1755,2054,2535
ENSG00000008196,TFAP2B,0,0,0,0,0,2
ENSG00000008197,TFAP2D,0,0,0,0,0,0
ENSG00000008226,DLEC1,93,60,26,42,57,91
ENSG00000008256,CYTH3,987,752,770,1298,1968,1404
ENSG00000008277,ADAM22,102,137,175,120,76,40
ENSG00000008282,SYPL1,4725,3946,3960,2123,2249,2313
ENSG00000008283,CYB561,586,538,395,2747,2535,2556
ENSG00000008294,SPAG9,6097,3688,4120,29186,26978,39214
ENSG00000008300,CELSR3,875,206,162,1621,1165,2558
ENSG00000008311,AASS,295,197,204,387,331,290
ENSG00000008323,PLEKHG6,2,7,0,2,5,8
ENSG00000008324,SS18L2,688,777,675,1161,1190,851
ENSG00000008382,MPND,767,646,628,362,420,361
ENSG00000008394,MGST1,2566,2942,2139,1062,1444,1603
ENSG00000008405,CRY1,528,523,424,637,649,917
ENSG00000008438,PGLYRP1,0,0,0,0,0,0
ENSG00000008441,NFIX,1038,996,886,336,301,266
ENSG00000008513,ST3GAL1,2546,2058,1888,980,1333,2494
ENSG00000008516,MMP25,121,106,65,62,96,156
ENSG00000008517,IL32,6,9,2,1296,1385,1193
ENSG00000008710,PKD1,13183,7015,6865,2355,3059,2850
ENSG00000008735,MAPK8IP2,65,47,22,19,58,41
ENSG00000008838,MED24,4649,4425,3638,2229,1951,2806
ENSG00000008853,RHOBTB2,2101,2128,1947,222,328,303
ENSG00000008869,HEATR5B,2361,1416,1752,814,1117,1947
ENSG00000008952,SEC62,2683,2920,3200,5513,6027,6139
ENSG00000008988,RPS20,39801,32190,31525,19558,23167,24404
ENSG00000009307,CSDE1,34318,28011,31846,28802,33907,32052
ENSG00000009335,UBE3C,4935,4572,4317,3885,4769,4693
ENSG00000009413,REV3L,3413,2900,2504,5288,5959,6081
ENSG00000009694,TENM1,21,9,11,14,6,7
ENSG00000009709,PAX7,0,0,0,0,0,0
ENSG00000009724,MASP2,5,5,4,5,2,6
ENSG00000009765,IYD,55,85,42,44,53,36
ENSG00000009780,FAM76A,210,216,196,95,85,203
ENSG00000009790,TRAF3IP3,1127,641,858,81,94,161
ENSG00000009830,POMT2,565,439,495,387,645,476
ENSG00000009844,VTA1,3272,3370,3374,2084,2280,2301
ENSG00000009950,MLXIPL,519,254,254,137,105,131
ENSG00000009954,BAZ1B,5816,6060,6236,4943,5369,6082
ENSG00000010017,RANBP9,2563,1845,2044,2647,2885,2695
ENSG00000010030,ETV7,70,18,27,74,63,138
ENSG00000010072,SPRTN,677,801,644,822,941,1130
ENSG00000010165,EEF1AKNMT,2204,2626,2251,857,1040,1073
ENSG00000010219,DYRK4,99,98,67,20,25,20
ENSG00000010244,ZNF207,13669,12236,12158,22825,25706,20416
ENSG00000010256,UQCRC1,5304,5963,5437,4118,4483,5065
ENSG00000010270,STARD3NL,1684,1418,1522,2516,2483,2310
ENSG00000010278,CD9,127,41,22,132,90,284
ENSG00000010282,HHATL,2,0,0,0,0,0
ENSG00000010292,NCAPD2,6167,5949,7419,676,852,1301
ENSG00000010295,IFFO1,2075,1874,1432,152,164,242
ENSG00000010310,GIPR,1164,823,542,127,134,175
ENSG00000010318,PHF7,640,455,566,53,81,92
ENSG00000010319,SEMA3G,256,348,268,129,156,125
ENSG00000010322,NISCH,5685,4567,4163,2234,2431,2426
ENSG00000010327,STAB1,11,4,5,10,3,2
ENSG00000010361,FUZ,99,62,92,44,54,62
ENSG00000010379,SLC6A13,6,0,3,7,19,19
ENSG00000010404,IDS,1829,1457,1404,1500,2000,3561
ENSG00000010438,PRSS3,0,0,0,0,0,0
ENSG00000010539,ZNF200,1246,1073,1015,717,797,1026
ENSG00000010610,CD4,12031,9718,9380,4693,5243,5773
ENSG00000010626,LRRC23,117,66,79,48,77,119
ENSG00000010671,BTK,6346,5010,4633,1013,1427,1649
ENSG00000010704,HFE,133,57,93,83,97,89
ENSG00000010803,SCMH1,13039,10393,9220,6372,6723,6675
ENSG00000010810,FYN,2024,816,1270,1412,1653,2280
