Gene	GSM6290462	GSM6290463	GSM6290464	GSM6290466	GSM6290467	GSM6290468
TSPAN6	2.443796561	1.511294588	1.062851308	1.242947482	1.34501105	2.081599875
DPM1	36.71559953	33.72934741	38.60082706	92.69771487	73.89154455	94.10887336
SCYL3	10.47899965	10.64775733	12.10201149	32.5783077	30.99129627	37.72578539
C1orf112	18.78790796	21.29551466	23.40688449	20.50863346	19.39057597	20.61040864
FGR	24.75077157	16.8761229	11.37734014	34.80252951	26.62001036	64.01562085
FUCA2	73.35299757	87.79247655	87.58861009	63.32490331	65.0929306	61.77982839
GCLC	18.43600125	16.8532245	14.13109126	40.36308403	39.25751002	36.38944967
NFYA	71.57391367	92.69273476	109.9084876	167.8960376	105.2751357	121.6579483
STPG1	9.384178794	8.289221834	10.14539885	10.17254387	9.331014158	9.559940167
NIPAL3	24.34021375	25.96678884	32.05462923	8.471668367	12.27322583	9.868325333
LAS1L	82.46347115	106.2256908	107.7827849	33.36332716	35.53070857	39.65319268
ENPP4	14.5650275	13.16658164	14.03446841	85.86150372	70.80922756	87.17020711
SEMA3F	7.917900857	10.55616372	9.03423612	1.210238338	2.914190608	4.240296042
ANKIB1	24.98537604	28.37112114	33.62475048	23.25620158	24.5184306	27.4719786
CYP51A1	66.52991757	53.17009143	78.98917677	94.69297267	106.2558729	80.4885285
KRIT1	40.21511621	36.79773339	46.74130185	52.95610458	54.30482114	47.05443668
RAD52	8.621714267	10.78514775	9.565661775	3.728842447	6.052549724	5.422439181
BAD	12.39493616	17.99814464	13.28564135	9.158560396	9.134866713	9.482843875
LAP3	55.2102519	64.55059765	65.8726254	192.493314	145.1210881	185.3137864
CD99	104.6922447	84.12873209	98.79686025	246.2998564	197.8287086	204.7934494
HS3ST1	0.723363782	0.32057764	0.6280485	0.261673154	0.140105318	0.154192583
AOC1	31.04599151	45.56782168	35.72629739	25.7093874	33.03683391	51.14054014
HECW1	0.606061547	1.419700977	0.942072751	0.948565184	1.42907424	0.873757972
MAD1L1	50.98737145	44.51449515	42.70729802	14.78453321	18.97026001	14.41700654
LASP1	158.6708231	153.8543688	167.7131053	57.17558419	56.74265366	69.90063778
SNX11	30.75273592	39.66003375	29.80814806	893.2867301	755.9242311	535.3566493
TMEM176A	0.70381341	1.351005768	0.845449904	0.359800587	0.95271616	1.310636958
M6PR	102.3657503	127.9104784	123.9912674	196.1567382	168.5186761	158.6641683
KLHL13	5.689158394	3.068385983	3.985692406	0.621473741	0.896674033	0.642469097
CYP26B1	1.700882406	0.32057764	1.256097001	2.649440686	2.437832528	2.389985042
ICA1	16.63736699	11.88427108	14.46927122	9.845452426	8.742571824	7.272750181
DBNDD1	3.401764813	2.908097163	3.067775367	0.556055453	0.728547652	0.436878986
ALS2	17.14567667	14.79236824	16.78821953	35.84922212	29.5902431	24.9791985
CASP10	24.84852343	14.4030954	16.9331538	56.42327387	51.61479904	54.53277697
CFLAR	91.73034771	82.5945391	82.54006637	1722.528956	1563.96764	1835.482813
TFPI	2.326494326	1.92346584	2.874529675	3.859679024	3.25044337	6.039209514
NDUFAF7	12.39493616	14.74657144	11.42565156	15.01349722	13.33802624	14.5198016
RBM5	199.8243572	174.7148138	178.4382412	575.8771941	560.7014814	445.0254943
MTMR7	1.446727564	1.167818546	1.40103127	1.079401761	0.756568716	1.38773325
SLC7A2	6.217018451	5.472718283	5.652436503	281.0696767	208.8970287	304.6588459
ARF5	47.4683044	41.99567084	39.20471985	46.74136717	47.8039344	40.706842
SARM1	4.848492377	4.831563003	3.454266752	0.68689203	0.812610843	1.233540667
POLDIP2	59.21807826	79.09108346	79.49644672	35.6856764	39.50969959	37.10901506
PLXND1	55.48395712	52.68922497	68.50559796	36.96133303	19.9790183	41.09232346
AK2	325.1226945	447.9156583	482.3170926	193.7362615	212.7078933	159.0753485
CD38	11.71067312	18.36451909	18.76898788	20.50863346	26.45188398	39.98727661
FKBP4	17.3411804	45.56782168	38.76991704	190.8251477	145.0090038	139.9811669
KDM1A	93.9395398	123.7658674	103.7246254	85.66524885	74.22779731	75.27167943
RBM6	105.0050506	104.0961394	109.0630377	82.2307887	96.11224793	93.13232033
CAMKK1	3.479966303	4.533883765	2.077391193	1.177529194	1.232926796	1.105046847
RECQL	38.98344274	36.93512381	53.04594257	23.22349243	25.21895718	40.9895284
VPS50	14.33042303	17.40278617	18.33418507	11.1538182	7.397560774	9.611337694
ARHGAP33	90.40092238	61.66539889	88.0234129	18.67692138	19.19442852	21.71545549
NDUFAB1	32.96192801	57.22310874	45.21949203	22.37305468	23.08935636	23.28308008
PDK4	4.985344984	2.702011537	3.647512444	1.799002935	2.017516575	1.567624597
SLC22A16	39.68725615	43.09479417	50.94439566	8.11186778	9.947477556	8.840374778
ZMYND10	1.935486876	1.144920143	2.004924059	0.261673154	0.336252762	0.488276514
ABCB5	0.527860057	0.595358474	0.410647096	0.392509731	0.532400207	0.256987639
ARX	2.619749913	2.129551466	1.859989789	0.196254866	0.39229489	0.051397528
SLC25A13	16.93062257	18.57060472	18.55158647	38.20428051	44.16119614	29.86196364
ST7	17.61488561	21.50160028	17.02977664	21.65345351	20.48339745	20.81599875
CDC27	91.18293728	100.5697853	113.5076886	144.2146171	133.9406837	135.1241005
SLC4A1	1.055720114	0.870139309	1.183629866	1.14482005	1.401053177	1.182143139
HCCS	14.64322899	21.36420986	19.30041353	44.45172707	45.9545442	40.96382964
DVL2	28.34804011	23.2189805	30.17048373	8.766050665	7.313497583	6.733076139
UPF1	120.7431005	158.8462206	138.4363829	228.4733727	232.2105535	214.0707032
SKAP2	57.86910256	57.24600714	77.10503127	64.60055994	70.50099586	47.00303915
SLC25A5	296.7746543	325.180219	341.1269585	118.2762657	125.0580066	140.9320212
MCUB	0.977518624	0.778545697	1.014539885	0.196254866	0.224168508	0.436878986
HOXA11	26.17794876	21.15812424	22.31987747	19.33110427	20.03506043	14.64829542
POLR2J	33.27473397	39.86611937	39.71198979	35.16233009	33.20496029	26.88090703
DHX33	18.98341168	24.40969744	24.10740013	18.41524823	14.79512155	19.63385561
THSD7A	119.8046826	95.50923831	113.6043114	31.4007785	34.3538239	38.98502482
LIG3	34.2522526	43.2779814	48.89116018	35.3912941	36.23123515	30.50443274
RPAP3	60.27379838	61.09293882	66.57314104	98.35639683	84.7637172	64.42680107
ACSM3	1.407626819	1.694481811	1.352719847	1.177529194	1.288968923	1.824612236
REXO5	32.98147838	32.72181768	30.84684365	30.45221332	32.25224413	25.33898119
CIAPIN1	38.7292879	52.62052976	44.22910785	42.75085156	56.46244303	48.82765139
SPPL2B	121.3882628	127.9104784	125.6097001	50.01228159	53.18397859	56.97415954
FAM214B	21.72046383	19.30335361	18.52743076	10.13983472	7.789855663	18.40031494
COPZ2	8.152505327	7.487777734	4.637896618	2.420476676	2.241685083	3.160947958
PRKAR2B	15.01468607	24.68447828	20.96715763	7.163302596	5.94046547	5.08835525
MSL3	21.97461867	18.20423027	21.01546905	20.14883287	18.63400725	27.1121959
CREBBP	62.0333319	52.25415532	73.67492023	399.5421973	587.0973232	456.6413355
TSPOAP1	35.1711201	22.82970765	17.07808807	14.8499515	10.87217265	19.04278404
MPO	3.792772262	4.48808696	7.63320485	0.817728607	0.280210635	0.334083931
GCFC2	22.1701224	22.50913001	15.94276962	24.40102163	21.99653488	19.29977168
WDR54	9.266876559	10.23558608	12.10201149	5.429717949	4.98774931	4.985560194
CROT	3.890524125	4.762867794	4.903609445	1.046692617	0.588442334	0.616770333
ABCB4	8.739016502	1.717380214	3.091931079	75.98334215	66.74617335	68.35871194
KMT2E	81.52505327	63.54306792	69.95494065	411.1212344	361.1074458	374.5851824
RHBDD2	32.49271907	22.98999647	23.26195022	48.04973294	42.90024828	56.81996696
ZNF195	44.06653958	43.43827022	38.55251564	65.32016111	61.95457148	55.61212506
MYCBP2	115.6209029	145.5193501	135.7067875	230.7303037	234.1440069	225.0697741
FBXL3	41.25128595	41.46900757	41.64444672	137.1494419	137.8916537	111.2756476
ITGAL	97.45860685	74.90067574	65.8726254	16.15831727	25.75135739	20.71320369
PDK2	21.30990601	19.2346584	20.99131334	4.546571054	5.127854627	2.672671444
ITGA3	6.803529625	4.121712514	2.922841098	3.074659562	5.828381216	3.032454139
ZFX	34.62370967	29.6763301	34.44604467	102.248785	111.0474748	147.9477837
LAMP2	166.0608639	179.615072	205.0819911	217.188718	216.0423999	200.2190695
ITGA2B	5.415453179	1.854770631	2.48803829	1.962548656	1.513137431	0.899456736
