GeneID	rank
TNFAIP6	334
ADORA2A	324
CXCL8	314.448003
CRIM1	305.3344566
DNAAF1	291.5902329
ZC3H12A	276.7176797
ELOVL7	274.6002961
NFKBIZ	272.4739568
CXCL2	271.1874772
NFKB1	253.0767599
None	235.3023899
None	227.5023692
BCL2A1	224.0208566
MIR9-1HG	223.2089939
MIR3142HG	222.5535498
None	210.1263881
CXCL3	205.2132044
GCH1	204.9704866
CLEC4E	203.0240241
MCTP1	196.6023093
SDC4	192.5549137
ZBTB10	191.1327659
KDM6B	189.9424653
None	189.1433731
ANKRD33B	187.3242338
CCL20	176.2658073
IRAK2	173.3771516
GRAMD1A	172.2213234
TNFAIP2	171.259652
PRECSIT	165.9320401
MFSD2A	165.0859707
SOCS3	163.3959393
ICAM1	160.083195
BCL9L	156.9677145
JUN	155.7874037
ATP2B1	155.7161219
NKX3-1	154.9669781
RASGEF1B	152.5741384
CXCL1	151.5700588
PNRC1	150.863686
N4BP3	148.1991044
CCL4	147.7862887
MAP3K8	145.0279057
CFLAR	142.8926969
CD40	142.8568247
ZNF697	140.9030978
ZC3H12C	140.7939067
TNFAIP3	136.9568796
TP53BP2	136.4441425
NFIL3	136.3784983
NINJ1	135.2394831
NR4A3	135.0792319
SGPP2	133.8363618
SLC7A2	133.4273355
NFKBIA	132.2230441
NFKB2	131.1587981
SKIL	129.462421
CCL4L2	127.9975506
IL1B	126.7059862
KYNU	126.3900301
CPEB4	126.1526152
TRIM36	125.5058406
PIM3	124.1658755
CD83	124.0359391
DRAM1	123.459391
IER5	123.1871998
RIPK2	122.9156004
None	122.8148919
NFE2L2	122.724916
HS3ST3B1	122.6447095
WTAP	121.9294991
IRF1	120.8940834
E2F7	120.6044364
RAP2C	120.4463635
RFTN1	119.6774907
USP12	118.5101821
SUSD6	117.7199394
FLT1	117.4210494
CREB5	116.9196072
RAB8B	115.8956747
RNF144B	115.5804967
NBPF19	115.3869391
FMNL3	112.7155096
TNFRSF9	111.9664722
GJB2	111.3701722
