GO.ID	Description	p.Val	FDR	Phenotype	Genes
MEMBRANE-ENCLOSED LUMEN%GOCC%GO:0031974	membrane-enclosed lumen	2.667720319141143e-114	2.667720319141143e-114	+1	
INTRACELLULAR ORGANELLE LUMEN%GOCC%GO:0070013	intracellular organelle lumen	2.667720319141143e-114	2.667720319141143e-114	+1	
ORGANELLE LUMEN%GOCC%GO:0043233	organelle lumen	2.667720319141143e-114	2.667720319141143e-114	+1	
NUCLEAR LUMEN%GOCC%GO:0031981	nuclear lumen	1.3973684608788487e-106	1.3973684608788487e-106	+1	
NUCLEOPLASM%GOCC%GO:0005654	nucleoplasm	8.735639177125977e-103	8.735639177125977e-103	+1	
NUCLEUS%GOCC%GO:0005634	nucleus	1.1787151014556418e-102	1.1787151014556418e-102	+1	
CYTOSOL%GOCC%GO:0005829	cytosol	6.383938287606748e-94	6.383938287606748e-94	+1	
METABOLIC PROCESS%GOBP%GO:0008152	metabolic process	1.0349660912824011e-76	1.0349660912824011e-76	+1	
PRIMARY METABOLIC PROCESS%GOBP%GO:0044238	primary metabolic process	5.0927518993541834e-76	5.0927518993541834e-76	+1	
MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0043170	macromolecule metabolic process	3.1633759281711482e-71	3.1633759281711482e-71	+1	
NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006139	nucleobase-containing compound metabolic process	2.6028203948978022e-64	2.6028203948978022e-64	+1	
REGULATION OF METABOLIC PROCESS%GOBP%GO:0019222	regulation of metabolic process	4.34657173151134e-61	4.34657173151134e-61	+1	
REGULATION OF PRIMARY METABOLIC PROCESS%GOBP%GO:0080090	regulation of primary metabolic process	4.993052861722054e-58	4.993052861722054e-58	+1	
REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0060255	regulation of macromolecule metabolic process	1.4930259563458478e-55	1.4930259563458478e-55	+1	
CELLULAR RESPONSE TO STRESS%GOBP%GO:0033554	cellular response to stress	9.57790112640501e-55	9.57790112640501e-55	+1	
REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031323	regulation of cellular metabolic process	2.0306379038905068e-53	2.0306379038905068e-53	+1	
NUCLEIC ACID METABOLIC PROCESS%GOBP%GO:0090304	nucleic acid metabolic process	1.5911663926244924e-52	1.5911663926244924e-52	+1	
CELLULAR METABOLIC PROCESS%GOBP%GO:0044237	cellular metabolic process	3.9272013031779645e-49	3.9272013031779645e-49	+1	
INTRACELLULAR NON-MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043232	intracellular non-membrane-bounded organelle	2.0680382955201e-46	2.0680382955201e-46	+1	
NON-MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043228	non-membrane-bounded organelle	2.6998777688040196e-46	2.6998777688040196e-46	+1	
PROTEIN-CONTAINING COMPLEX%GOCC%GO:0032991	protein-containing complex	1.5347674223111048e-45	1.5347674223111048e-45	+1	
POSITIVE REGULATION OF METABOLIC PROCESS%GOBP%GO:0009893	positive regulation of metabolic process	4.014072768980203e-45	4.014072768980203e-45	+1	
BIOSYNTHETIC PROCESS%GOBP%GO:0009058	biosynthetic process	4.927686182308837e-45	4.927686182308837e-45	+1	
REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031326	regulation of cellular biosynthetic process	2.0069969567658155e-44	2.0069969567658155e-44	+1	
POSITIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048518	positive regulation of biological process	2.741928456123053e-44	2.741928456123053e-44	+1	
POSITIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048522	positive regulation of cellular process	6.460533889395774e-44	6.460533889395774e-44	+1	
REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010556	regulation of macromolecule biosynthetic process	9.130637674088583e-44	9.130637674088583e-44	+1	
REGULATION OF CELLULAR PROCESS%GOBP%GO:0050794	regulation of cellular process	1.2951421627002951e-43	1.2951421627002951e-43	+1	
NEGATIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048523	negative regulation of cellular process	1.7127301922484946e-43	1.7127301922484946e-43	+1	
POSITIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0010604	positive regulation of macromolecule metabolic process	2.0237735512311106e-43	2.0237735512311106e-43	+1	
REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009889	regulation of biosynthetic process	1.0115779604337549e-42	1.0115779604337549e-42	+1	
CATALYTIC ACTIVITY%GOMF%GO:0003824	catalytic activity	2.3577737959559565e-42	2.3577737959559565e-42	+1	
NEGATIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048519	negative regulation of biological process	4.9601554164930193e-42	4.9601554164930193e-42	+1	
