GO.ID	Description	p.Val	FDR	Phenotype	Genes
METABOLIC PROCESS%GOBP%GO:0008152	metabolic process	5.000201658430663e-71	5.000201658430663e-71	+1	
PRIMARY METABOLIC PROCESS%GOBP%GO:0044238	primary metabolic process	1.222811339999455e-70	1.222811339999455e-70	+1	
MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0043170	macromolecule metabolic process	1.4456741004373978e-66	1.4456741004373978e-66	+1	
NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006139	nucleobase-containing compound metabolic process	3.835133250766178e-61	3.835133250766178e-61	+1	
REGULATION OF METABOLIC PROCESS%GOBP%GO:0019222	regulation of metabolic process	4.296493938335066e-56	4.296493938335066e-56	+1	
REGULATION OF PRIMARY METABOLIC PROCESS%GOBP%GO:0080090	regulation of primary metabolic process	1.546349805006087e-53	1.546349805006087e-53	+1	
CELLULAR RESPONSE TO STRESS%GOBP%GO:0033554	cellular response to stress	1.7371131542287395e-52	1.7371131542287395e-52	+1	
REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0060255	regulation of macromolecule metabolic process	6.163714673184754e-51	6.163714673184754e-51	+1	
NUCLEIC ACID METABOLIC PROCESS%GOBP%GO:0090304	nucleic acid metabolic process	5.8720983579760015e-50	5.8720983579760015e-50	+1	
REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031323	regulation of cellular metabolic process	6.187010361334386e-49	6.187010361334386e-49	+1	
CELLULAR METABOLIC PROCESS%GOBP%GO:0044237	cellular metabolic process	4.923078245599293e-45	4.923078245599293e-45	+1	
POSITIVE REGULATION OF METABOLIC PROCESS%GOBP%GO:0009893	positive regulation of metabolic process	6.615803238127755e-42	6.615803238127755e-42	+1	
BIOSYNTHETIC PROCESS%GOBP%GO:0009058	biosynthetic process	8.873481481872349e-42	8.873481481872349e-42	+1	
REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031326	regulation of cellular biosynthetic process	1.6268425065445814e-40	1.6268425065445814e-40	+1	
POSITIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0010604	positive regulation of macromolecule metabolic process	2.0555653761755744e-40	2.0555653761755744e-40	+1	
POSITIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048518	positive regulation of biological process	4.852586513281088e-40	4.852586513281088e-40	+1	
POSITIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048522	positive regulation of cellular process	6.43682242122528e-40	6.43682242122528e-40	+1	
REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010556	regulation of macromolecule biosynthetic process	6.5278747181280466e-40	6.5278747181280466e-40	+1	
NEGATIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048523	negative regulation of cellular process	7.07538702593231e-40	7.07538702593231e-40	+1	
REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009889	regulation of biosynthetic process	7.640436585471187e-39	7.640436585471187e-39	+1	
NEGATIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048519	negative regulation of biological process	2.7281629258986026e-38	2.7281629258986026e-38	+1	
REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0019219	regulation of nucleobase-containing compound metabolic process	4.59115786204989e-38	4.59115786204989e-38	+1	
DNA DAMAGE RESPONSE%GOBP%GO:0006974	DNA damage response	5.181621682816824e-38	5.181621682816824e-38	+1	
REGULATION OF CELLULAR PROCESS%GOBP%GO:0050794	regulation of cellular process	1.124473808668601e-37	1.124473808668601e-37	+1	
REGULATION OF GENE EXPRESSION%GOBP%GO:0010468	regulation of gene expression	1.5709298819489066e-37	1.5709298819489066e-37	+1	
ORGANELLE ORGANIZATION%GOBP%GO:0006996	organelle organization	3.0046233120236186e-37	3.0046233120236186e-37	+1	
CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0044249	cellular biosynthetic process	8.870070553466053e-37	8.870070553466053e-37	+1	
CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOBP%GO:0071840	cellular component organization or biogenesis	1.9881686789182714e-35	1.9881686789182714e-35	+1	
MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0009059	macromolecule biosynthetic process	3.3767253980896476e-33	3.3767253980896476e-33	+1	
NUCLEOBASE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0034654	nucleobase-containing compound biosynthetic process	1.146655623555444e-32	1.146655623555444e-32	+1	
GENE EXPRESSION%GOBP%GO:0010467	gene expression	3.872166859482632e-31	3.872166859482632e-31	+1	
POSITIVE REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031325	positive regulation of cellular metabolic process	1.4798702640079911e-30	1.4798702640079911e-30	+1	
CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0016043	cellular component organization	1.5029227847108215e-30	1.5029227847108215e-30	+1	
NEGATIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0010605	negative regulation of macromolecule metabolic process	8.703483011151619e-30	8.703483011151619e-30	+1	
REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051252	regulation of RNA metabolic process	1.8050716063025368e-29	1.8050716063025368e-29	+1	
NEGATIVE REGULATION OF METABOLIC PROCESS%GOBP%GO:0009892	negative regulation of metabolic process	2.731548558625816e-29	2.731548558625816e-29	+1	
DNA METABOLIC PROCESS%GOBP%GO:0006259	DNA metabolic process	4.10261665227895e-28	4.10261665227895e-28	+1	
POSITIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0045935	positive regulation of nucleobase-containing compound metabolic process	9.591580105574818e-28	9.591580105574818e-28	+1	
INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:0035556	intracellular signal transduction	5.628347115104872e-27	5.628347115104872e-27	+1	
RNA METABOLIC PROCESS%GOBP%GO:0016070	RNA metabolic process	7.725589436474317e-27	7.725589436474317e-27	+1	
POSITIVE REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031328	positive regulation of cellular biosynthetic process	2.09774391139308e-25	2.09774391139308e-25	+1	
POSITIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010557	positive regulation of macromolecule biosynthetic process	3.6985938328277824e-25	3.6985938328277824e-25	+1	
NEGATIVE REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031324	negative regulation of cellular metabolic process	5.639914357928876e-25	5.639914357928876e-25	+1	
REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:2001141	regulation of RNA biosynthetic process	3.177740176310995e-24	3.177740176310995e-24	+1	
CELL CYCLE PROCESS%GOBP%GO:0022402	cell cycle process	3.4789196966191235e-24	3.4789196966191235e-24	+1	
POSITIVE REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009891	positive regulation of biosynthetic process	3.662300851374829e-24	3.662300851374829e-24	+1	
CELLULAR LOCALIZATION%GOBP%GO:0051641	cellular localization	4.526752716301607e-24	4.526752716301607e-24	+1	
REGULATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0006355	regulation of DNA-templated transcription	4.784926700270104e-24	4.784926700270104e-24	+1	
REGULATION OF CELL CYCLE%GOBP%GO:0051726	regulation of cell cycle	7.909757135637914e-24	7.909757135637914e-24	+1	
NUCLEIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0141187	nucleic acid biosynthetic process	9.409972645937566e-24	9.409972645937566e-24	+1	
DNA REPAIR%GOBP%GO:0006281	DNA repair	1.1554017351649e-23	1.1554017351649e-23	+1	
NEGATIVE REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031327	negative regulation of cellular biosynthetic process	2.0067826473007663e-23	2.0067826473007663e-23	+1	
REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009966	regulation of signal transduction	2.097159282327761e-23	2.097159282327761e-23	+1	
NEGATIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010558	negative regulation of macromolecule biosynthetic process	3.2838475933345845e-23	3.2838475933345845e-23	+1	
REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048583	regulation of response to stimulus	6.017003356552594e-23	6.017003356552594e-23	+1	
NEGATIVE REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009890	negative regulation of biosynthetic process	7.113080715497309e-23	7.113080715497309e-23	+1	
MITOTIC CELL CYCLE PROCESS%GOBP%GO:1903047	mitotic cell cycle process	1.5173269573609227e-22	1.5173269573609227e-22	+1	
RESPONSE TO STRESS%GOBP%GO:0006950	response to stress	1.7809181455378717e-22	1.7809181455378717e-22	+1	
CELL CYCLE%GOBP%GO:0007049	cell cycle	2.5092444833923317e-22	2.5092444833923317e-22	+1	
MITOTIC CELL CYCLE%GOBP%GO:0000278	mitotic cell cycle	2.538998688487265e-22	2.538998688487265e-22	+1	
PROTEIN METABOLIC PROCESS%GOBP%GO:0019538	protein metabolic process	5.637411921563832e-22	5.637411921563832e-22	+1	
MACROMOLECULE MODIFICATION%GOBP%GO:0043412	macromolecule modification	6.975847172163238e-22	6.975847172163238e-22	+1	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.2190145579997229e-21	1.2190145579997229e-21	+1	
POSITIVE REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051254	positive regulation of RNA metabolic process	2.825757956698939e-21	2.825757956698939e-21	+1	
GENE EXPRESSION (TRANSCRIPTION)%REACTOME%R-HSA-74160.9	Gene expression (Transcription)	3.97798925902302e-21	3.97798925902302e-21	+1	
REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051246	regulation of protein metabolic process	8.822381456047674e-21	8.822381456047674e-21	+1	
REGULATION OF RESPONSE TO STRESS%GOBP%GO:0080134	regulation of response to stress	1.588058823846156e-20	1.588058823846156e-20	+1	
REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051128	regulation of cellular component organization	5.0374131053262044e-20	5.0374131053262044e-20	+1	
REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902531	regulation of intracellular signal transduction	8.870618267298259e-20	8.870618267298259e-20	+1	
REGULATION OF SIGNALING%GOBP%GO:0023051	regulation of signaling	1.6621354380049398e-19	1.6621354380049398e-19	+1	
RNA BIOSYNTHETIC PROCESS%GOBP%GO:0032774	RNA biosynthetic process	1.9217355322653304e-19	1.9217355322653304e-19	+1	
REGULATION OF CELL COMMUNICATION%GOBP%GO:0010646	regulation of cell communication	3.3234846718466075e-19	3.3234846718466075e-19	+1	
REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051052	regulation of DNA metabolic process	5.115698239083364e-19	5.115698239083364e-19	+1	
CELL CYCLE%REACTOME%R-HSA-1640170.5	Cell Cycle	1.7207457181506225e-18	1.7207457181506225e-18	+1	
PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0006793	phosphorus metabolic process	2.2115992333723088e-18	2.2115992333723088e-18	+1	
PHOSPHATE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006796	phosphate-containing compound metabolic process	2.2115992333723088e-18	2.2115992333723088e-18	+1	
REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0033043	regulation of organelle organization	3.3605126796961005e-18	3.3605126796961005e-18	+1	
PROTEIN MODIFICATION PROCESS%GOBP%GO:0036211	protein modification process	4.484905452846372e-18	4.484905452846372e-18	+1	
REGULATION OF CELLULAR RESPONSE TO STRESS%GOBP%GO:0080135	regulation of cellular response to stress	7.916380680635153e-18	7.916380680635153e-18	+1	
REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0010564	regulation of cell cycle process	2.760134024112407e-17	2.760134024112407e-17	+1	
POSITIVE REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:1902680	positive regulation of RNA biosynthetic process	4.833618174250037e-17	4.833618174250037e-17	+1	
CATABOLIC PROCESS%GOBP%GO:0009056	catabolic process	6.028323792834329e-17	6.028323792834329e-17	+1	
POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0045893	positive regulation of DNA-templated transcription	7.443574824218475e-17	7.443574824218475e-17	+1	
