GO.ID	Description	p.Val	FDR	Phenotype	Genes
INTRACELLULAR ANATOMICAL STRUCTURE%GOCC%GO:0005622	intracellular anatomical structure	1.36226659047585e-202	1.36226659047585e-202	+1	7636
INTRACELLULAR ORGANELLE%GOCC%GO:0043229	intracellular organelle	3.40256447585282e-175	3.40256447585282e-175	+1	6791
INTRACELLULAR MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043231	intracellular membrane-bounded organelle	8.45902931999874e-171	8.45902931999874e-171	+1	6302
ORGANELLE%GOCC%GO:0043226	organelle	1.33627811938767e-156	1.33627811938767e-156	+1	7116
MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043227	membrane-bounded organelle	1.01684303886394e-147	1.01684303886394e-147	+1	6748
PROTEIN BINDING%GOMF%GO:0005515	protein binding	2.85855107548364e-125	2.85855107548364e-125	+1	7511
MEMBRANE-ENCLOSED LUMEN%GOCC%GO:0031974	membrane-enclosed lumen	2.66772031914114e-114	2.66772031914114e-114	+1	3361
INTRACELLULAR ORGANELLE LUMEN%GOCC%GO:0070013	intracellular organelle lumen	2.66772031914114e-114	2.66772031914114e-114	+1	3361
ORGANELLE LUMEN%GOCC%GO:0043233	organelle lumen	2.66772031914114e-114	2.66772031914114e-114	+1	3361
CYTOPLASM%GOCC%GO:0005737	cytoplasm	3.33297030494461e-112	3.33297030494461e-112	+1	6062
BINDING%GOMF%GO:0005488	binding	3.19325365631835e-108	3.19325365631835e-108	+1	8035
NUCLEAR LUMEN%GOCC%GO:0031981	nuclear lumen	1.39736846087885e-106	1.39736846087885e-106	+1	2768
NUCLEOPLASM%GOCC%GO:0005654	nucleoplasm	8.73563917712598e-103	8.73563917712598e-103	+1	2601
NUCLEUS%GOCC%GO:0005634	nucleus	1.17871510145564e-102	1.17871510145564e-102	+1	3985
CYTOSOL%GOCC%GO:0005829	cytosol	6.38393828760675e-94	6.38393828760675e-94	+1	3187
MOLECULAR_FUNCTION%GOMF%GO:0003674	molecular_function	7.51183251390456e-78	7.51183251390456e-78	+1	8715
METABOLIC PROCESS%GOBP%GO:0008152	metabolic process	1.0349660912824e-76	1.0349660912824e-76	+1	3693
PRIMARY METABOLIC PROCESS%GOBP%GO:0044238	primary metabolic process	5.09275189935418e-76	5.09275189935418e-76	+1	3345
