pathway	size	pval	padj	NES
POSITIVE REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0043065	378	7.4868e-9	3.1558e-7	1.8466
CARBOXYLIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0046394	224	0.0001	0.0009	-1.6512
ANTIVIRAL INNATE IMMUNE RESPONSE%GOBP%GO:0140374	52	0.0072	0.0277	1.6753
PROTEASOME-MEDIATED UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0043161	277	0.0012	0.0066	1.5053
REGULATION OF MYELOID CELL DIFFERENTIATION%GOBP%GO:0045637	149	0.0003	0.0025	1.6686
ENDOTHELIAL CELL DEVELOPMENT%GOBP%GO:0001885	34	0.0001	0.0007	2.1052
TRAIL SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TRAIL SIGNALING PATHWAY	25	0.0053	0.0218	1.7301
DDX58 IFIH1-MEDIATED INDUCTION OF INTERFERON-ALPHA BETA%REACTOME DATABASE ID RELEASE 81%168928	80	1.4188e-7	0.0000038653	2.2662
POSITIVE REGULATION OF NITRIC OXIDE METABOLIC PROCESS%GOBP%GO:1904407	29	0.011	0.0377	1.6336
T CELL ACTIVATION%PANTHER PATHWAY%P00053	60	0.007	0.0271	1.6592
REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY%GOBP%GO:2000116	164	0.0106	0.0369	1.4633
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	103	0.0002	0.0019	-1.8159
BIOCARTA_NTHI_PATHWAY%MSIGDB_C2%BIOCARTA_NTHI_PATHWAY	21	7.3829e-7	0	2.3315
CELLULAR MODIFIED AMINO ACID METABOLIC PROCESS%GOBP%GO:0006575	141	0.0001	0.0006	-1.8068
POSITIVE REGULATION OF ANGIOGENESIS%GOBP%GO:0045766	125	0	0.0002	1.9049
ANGIOGENESIS%PANTHER PATHWAY%P00005	148	0.0083	0.0308	1.4598
PID_FGF_PATHWAY%MSIGDB_C2%PID_FGF_PATHWAY	46	0.0054	0.0219	1.7172
PYRIDINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072526	42	0.0032	0.0146	-1.7642
HALLMARK_ANGIOGENESIS%MSIGDBHALLMARK%HALLMARK_ANGIOGENESIS	33	0.0044	0.0186	1.7653
IFN-GAMMA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IFN-GAMMA PATHWAY	41	0.0001	0.001	2.0407
EBSTEIN BARR VIRUS LMP1 SIGNALING%WIKIPATHWAYS_20240410%WP262%HOMO SAPIENS	21	8.0963e-8	0.0000024497	2.398
GASTRULATION%GOBP%GO:0007369	88	0.0099	0.0352	1.6009
PROGRAMMED CELL DEATH%GOBP%GO:0012501	503	0.0000017539	0	1.6323
MYELOID CELL HOMEOSTASIS%GOBP%GO:0002262	65	0.0099	0.0352	1.5601
AUTOPHAGOSOME ORGANIZATION%GOBP%GO:1905037	77	0.0053	0.0216	1.6163
POSITIVE REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050671	101	4.2208e-7	0	2.1202
SIGNALING BY FGFR1%REACTOME%R-HSA-5654736.6	43	0.0032	0.0146	1.7788
FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.4	52	0.0001	0.0011	-1.9123
NOTCH1 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-2122947.5	46	0.0122	0.0409	1.6269
SIGNALING BY NTRKS%REACTOME%R-HSA-166520.6	130	0.0000044736	0.0001	1.9322
POSITIVE REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050729	121	0.0011	0.0063	1.638
ACTIVATION OF IRF3, IRF7 MEDIATED BY TBK1, IKKΕ (IKBKE)%REACTOME%R-HSA-936964.6	17	0.0003	0.0021	2.0309
NEGATIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002820	44	0.0018	0.0093	1.8831
FRUCTOSE-1,6-DIPHOSPHATASE DEFICIENCY%SMPDB%SMP0000562	22	0.0024	0.012	-1.7847
DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GOBP%GO:0006271	15	0	0.0004	-2.1945
MONOSACCHARIDE METABOLIC PROCESS%GOBP%GO:0005996	109	0.0011	0.0062	-1.6341
POSITIVE REGULATION OF POST-TRANSLATIONAL PROTEIN MODIFICATION%GOBP%GO:1901875	112	0.0087	0.0319	1.4995
NEGATIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001237	70	3.3557e-7	0.0000084404	2.2512
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	80	3.4891e-12	4.4428e-10	-2.6611
REGULATED NECROSIS%REACTOME DATABASE ID RELEASE 81%5218859	57	0	0.0003	2.0405
GASTRIN SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP4659%HOMO SAPIENS	101	8.1517e-7	0	2.106
PROTEIN LOCALIZATION%REACTOME DATABASE ID RELEASE 81%9609507	158	0.0006	0.0041	-1.589
POSITIVE REGULATION OF PHOSPHORYLATION%GOBP%GO:0042327	500	7.6363e-14	2.4565e-11	2.0378
PROTEINOGENIC AMINO ACID CATABOLIC PROCESS%GOBP%GO:0170040	51	0.0057	0.0229	-1.6882
ZOLEDRONATE ACTION PATHWAY%PATHWHIZ%PW000270	21	0.0026	0.0124	-1.8161
NFE2L2 REGULATING ANTI-OXIDANT DETOXIFICATION ENZYMES%REACTOME%R-HSA-9818027.3	18	0.0011	0.0062	1.9335
VEGFA VEGFR2 SIGNALING%WIKIPATHWAYS_20240410%WP3888%HOMO SAPIENS	355	3.4032e-11	2.6667e-9	1.9927
FRUCTOSE AND MANNOSE DEGRADATION%SMPDB%SMP0000064	18	0.0109	0.0374	-1.7146
NEGATIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002698	83	0.0002	0.0018	1.8378
PID_BCR_5PATHWAY%MSIGDB_C2%PID_BCR_5PATHWAY	56	0.0007	0.0042	1.8624
CELLULAR RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0071345	450	2.5623e-20	3.1321e-17	2.3379
