gene	rank
CLEC4E	14.4428
TNFAIP6	13.9975
CCL4.1	12.932
ADORA2A	12.1699
CXCL3	12.088
CRIM1	11.6154
ELOVL7	11.3223
DNAAF1	11.3134
ZC3H12A	11.2942
C1QTNF1	11.2556
CXCL2	11.0915
NFKBIZ	11.0556
MIR3142HG	10.9567
CCL4L2.1	10.9554
CXCL8	10.8954
GCH1	10.8504
NFKB1	10.7922
HCAR3	10.7291
MIR9-1HG	10.7221
SLC2A6	10.6792
ACHE	10.6494
ANKRD33B	10.628
MCTP1	10.5979
IER3	10.5614
GRAMD1A	10.3859
SDC4	10.3606
KDM6B	10.2618
PRECSIT	10.2543
BCL9L	10.1641
IRAK2	10.1299
FAM186B	10.0361
ZBTB10	10.0341
CCR7	10.0331
ICAM1	9.983
SOCS3	9.9745
CCL4.2	9.9648
RASGEF1B	9.9417
MAP3K8	9.9252
NKX3-1	9.9009
CCL20	9.8928
TP53BP2	9.8727
GJB2	9.8695
SOD2	9.8219
JUN	9.8172
ATP2B1	9.7833
CFLAR	9.776
TNFAIP2	9.7737
NFIL3	9.7649
PNRC1	9.7609
BCL2A1	9.7367
CPEB4	9.7141
CD40	9.6876
SKIL	9.6869
N4BP3	9.6818
CXCL1	9.6575
E2F7	9.6509
ZC3H12C	9.6499
SUSD6	9.6425
TRIM36	9.6405
KRTAP5-AS1	9.6389
SLC7A2	9.6342
ZNF697	9.6336
RAB8B	9.6049
SGPP2	9.5966
IRF1	9.5772
NINJ1	9.5416
GPR84	9.4924
USP12	9.4719
TRAF3	9.4695
CD83	9.4588
KYNU	9.4575
IER5	9.4574
UXS1	9.4381
CCL3.1	9.4381
HS3ST3B1	9.4376
RFTN1	9.43
NFE2L2	9.4207
WTAP	9.3921
MAP3K5	9.3795
PIM3	9.3778
ZNFX1	9.3759
MFSD2A	9.3678
RIPK2	9.3668
NFKB2	9.3571
NR4A3	9.3544
DRAM1	9.3486
TOM1	9.3192
NFKBIA	9.3052
MTF1	9.3001
TNFAIP3	9.2769
RAP2C	9.2759
GRAMD2B	9.2735
FLT1	9.2687
RNF144B	9.2638
NBPF19	9.2437
USP53	9.2394
IL32	9.2335
FMNL3	9.2147
BHLHE41	9.2114
ARL5B	9.1999
CCL4L2.2	9.1879
NFAT5	9.1873
TGFBR3	9.1739
MMP1	9.1709
DUSP16	9.1634
IL1B	9.1621
ACVR2A	9.1509
RND3	9.1468
DAPP1	9.1464
STX11	9.1429
SLC31A2	9.1124
SIX5	9.1051
TNFRSF4	9.0947
CLIP2	9.0928
CCL4	9.0641
TNFRSF18	9.0515
PIM1	9.0492
NCOA7	9.0304
TNFRSF9	9.0213
ATP2C1	8.9948
DNAJA4	8.9946
PLEKHF2	8.9736
STARD4	8.9653
DEDD2	8.9639
ZBTB43	8.9597
GBP5	8.9564
PDSS1	8.9478
RAPH1	8.9351
CREB5	8.9229
HIPK2	8.9211
CT75	8.9127
PPP1R15A	8.9007
DUSP8	8.8923
INTS6	8.8873
PDE4B	8.8727
SMG1P1	8.8715
PPIF	8.8712
RELB	8.8672
BIRC3	8.8658
BTG3	8.8638
PSTPIP2	8.8563
LIF	8.8457
MARCKS	8.8396
CYP7B1	8.8313
NOTCH2NLA	8.8243
MINDY3	8.8221
STAT5A	8.8218
BTG1	8.8186
RASGRP1	8.8129
LYRM4	8.7959
SHROOM3	8.7938
TAB2	8.7821
CXCL10	8.7806
UPB1	8.7802
SLC41A2	8.7659
IFNGR2.1	8.736
HSPA1B.3	8.7302
SPRED2	8.7178
BMT2	8.7089
TRIP10	8.7076
PPP1R15B	8.7046
EBI3	8.6965
CYLD	8.6954
ACSL1	8.681
DUSP1	8.6757
IFFO2	8.6693
REL	8.6668
DCP1A	8.6375
ANKLE2	8.6293
MTSS1	8.6258
DENND5A	8.6189
PPTC7	8.6152
CSNK1G3	8.6145
ARID4B	8.6017
BAIAP2L1	8.5931
GADD45B	8.5923
LOC101929709	8.5905
OSGIN2	8.5894
CD58	8.5847
DMXL2	8.578
FEZ1	8.5563
BCL6	8.5533
KCNJ2	8.5524
MLLT11	8.5524
JUNB	8.5305
SDCBP	8.5227
ARHGAP24	8.5143
CNKSR3	8.5034
RAPGEF2	8.502
ADAM17	8.4999
CD80	8.4977
ANXA5	8.4889
PTGER2	8.4874
PEA15	8.4833
BRAF	8.4828
CFB.1	8.4732
NFKBID	8.4678
PLEK	8.4652
ZNF267	8.4613
PLK3	8.4563
ZFAND3	8.4511
RRAS2	8.4489
RAB21	8.4486
PSEN1	8.4411
CD55	8.4404
TET2	8.4355
ANKRD26P3	8.4286
DENND4A	8.4264
ZSWIM6	8.424
MAP1LC3B	8.4204
EIF2AK2	8.4107
ARID5B	8.4091
CCL3	8.4068
MSC	8.4053
EGR2	8.3983
TMEM88	8.3969
SAT1	8.3898
SIK3	8.3794
DNAJB6	8.365
NCR3LG1	8.3601
BAG3	8.3599
AGO3	8.3571
UBE2E2	8.3548
ZMIZ2	8.3512
PRPF39	8.3478
PNPLA8	8.3464
RAP1B	8.3405
SNAPC1	8.337
TNIP1	8.3345
CREBRF	8.3229
ZFY	8.3198
ATAD2B	8.3119
NPHS1	8.3107
TMOD2	8.308
TRAF1	8.3075
CCL3L1	8.3067
LOC100288175	8.303
RGS16	8.2952
CCL5	8.2878
TICAM1	8.2832
DOT1L	8.2766
RFFL	8.2749
ZNF260	8.26
ABTB2	8.26
CLUHP3	8.2487
AMPD3	8.2419
TANK	8.2403
PIM2	8.2338
MXD1	8.224
RNF223	8.2227
ETV3	8.2148
TRAF6	8.2081
EPC1	8.1988
NR4A2	8.1927
TSC22D2	8.1894
PPM1K	8.1893
CCNL1	8.1819
HIF1A	8.1801
MCL1	8.1793
ZBTB21	8.1776
COL4A2	8.1743
SLC11A2	8.1661
HSPA1A	8.1602
SERPINE2	8.1566
ZP3	8.1553
BACH1	8.1543
BCL2L1	8.1504
LINC02541	8.1365
BHLHE40	8.136
TNFSF9	8.1337
LRP12	8.1252
ABL2	8.1212
CHMP4B	8.1204
SNX11	8.1171
LOC440896	8.1165
HRH1	8.1037
UBE2H	8.1003
IL15RA	8.0963
SCN1B	8.096
LITAF	8.0942
STAT4	8.0914
GTPBP1	8.0805
KCNH8	8.0797
NBN	8.0748
CYFIP1.1	8.0689
MAP2K3	8.0618
NBPF14	8.0552
DUSP10	8.0504
FAM53C	8.037
SMAD7	8.0349
B4GALT1	8.0323
IRF4	8.0316
LOC100507403	8.0297
EHD1	8.0264
CSRNP1	8.0228
DAAM1	8.0172
CD70	8.0005
ADAD2	7.9961
C11orf96	7.9958
IL4R	7.9933
TBC1D9	7.9929
UBE2E1	7.9895
TIAM2	7.9854
TUT7	7.9832
SLAMF7	7.9816
AFF4	7.9812
PDE4DIP	7.9811
IFIH1	7.9782
BTG2	7.9768
SINHCAF	7.9739
ZNF140	7.964
RRAD	7.9622
GCNT4	7.9545
IL18RAP	7.9521
PTPRK	7.9511
ARID5A	7.9419
HUWE1	7.9417
NR3C1	7.94
SLC39A8	7.9365
RNF19B	7.9184
RAB3IP	7.9174
PHLDA1	7.9173
PTX3	7.9156
RCN1	7.9138
FGF2	7.9112
DCUN1D3	7.9111
TPRA1	7.9046
RRN3	7.8987
BRPF3	7.8925
BTN2A1	7.8905
CLK1	7.89
KLF6	7.888
ZNF800	7.8812
EP300	7.8771
PCDH17	7.8769
HS3ST3A1	7.8629
NIBAN1	7.8541
MAML2	7.8521
FBXO42	7.8505
PGM2L1	7.8432
HTR7	7.8422
GPR132	7.8351
NXF1	7.8267
SLC9A8	7.8231
ARL8B	7.8229
PARM1	7.8223
ANO5	7.8141
FNDC3B	7.8131
LACTB	7.81
PTGS2	7.8067
FZD7	7.8037
ATF3	7.8034
RSRC2	7.7925
MAFF	7.7855
HIVEP3	7.7852
NFKBIE	7.7692
SQSTM1	7.7644
HSPA1B	7.7594
UBE2Z	7.7586
NFKBIB	7.7585
USP15	7.7571
RPS2P29	7.7567
ASAP1	7.752
STK38L	7.7485
PLPP3	7.7439
GPR137B	7.7436
PDLIM5	7.7434
KMO	7.7431
RAB5A	7.737
CEP85L	7.7369
POGLUT1	7.7326
XAGE1B	7.7287
POU2F2	7.7223
P2RX4	7.7199
MYSM1	7.7144
FAM83G	7.7118
ELOVL5	7.7102
TMEM217	7.7056
ENPP4	7.7052
MORC3	7.7007
EAF1	7.6956
RLF	7.6944
SPAG9	7.6927
ICOSLG	7.6923
ADAMDEC1	7.692
TFAP2A	7.6708
IL18R1	7.6683
