Gene	Description	Ranks	GSM6290462	GSM6290463	GSM6290464	GSM6290466	GSM6290467	GSM6290468
ENSG00000166816	LDHD	4.38	2.72	2.68	2.8	0.68	0.64	0.69
ENSG00000167799	NUDT8	4.07	1.5	1.52	1.43	0.31	0.2	0.17
ENSG00000113790	EHHADH	3.45	2.49	2.59	2.8	1.29	1.08	1.27
ENSG00000167315	ACAA2	3.31	3.45	3.3	3.55	2.02	1.97	1.9
ENSG00000005469	CROT	3.25	1.59	1.75	1.78	0.72	0.46	0.48
ENSG00000167969	ECI1	3.25	3.58	3.37	3.46	2.08	1.97	2.05
ENSG00000140284	SLC27A2	3.09	2.71	2.72	2.68	1.53	1.14	1.43
ENSG00000173208	ABCD2	2.99	0.64	0.82	0.95	0.09	0	0.07
ENSG00000198721	ECI2	2.9	2.3	2.28	2.55	1.07	1.33	1.38
ENSG00000095321	CRAT	2.78	3.42	3.35	3.39	2.06	2.27	2.28
ENSG00000138796	HADH	2.78	4.35	4.2	4.32	3.07	2.96	3.17
ENSG00000103066	PLA2G15	2.68	3.77	3.66	3.67	2.67	2.49	2.5
ENSG00000140876	NUDT7	2.37	3.56	3.21	3.62	2.39	2.13	1.34
ENSG00000101986	ABCD1	2.29	3.67	3.83	3.6	2.32	2.38	2.87
ENSG00000103876	FAH	2.27	3.73	4.11	4.06	3.03	3.07	2.99
ENSG00000164039	BDH2	2.15	2.4	2.1	2.11	1.4	1.58	1.25
ENSG00000105607	GCDH	2.15	3.06	3.4	3.32	2.28	2.43	2.5
ENSG00000097021	ACOT7	2.11	3.58	3.89	3.9	3.02	3.04	2.7
ENSG00000128928	IVD	2.1	4.59	4.59	4.51	3.54	3.75	3.76
ENSG00000117528	ABCD3	2.05	3.79	4.02	4.04	3.11	3.08	3.15
ENSG00000157184	CPT2	2.05	4.09	4.1	4.26	3.23	3.28	3.39
ENSG00000117480	FAAH	2.04	3.43	3.43	3.19	2.55	2.45	2.59
ENSG00000124370	MCEE	1.93	1.84	1.86	1.63	1.15	0.84	1.22
ENSG00000114054	PCCB	1.88	4.04	4.17	4.35	3.46	3.41	3.39
ENSG00000122971	ACADS	1.85	3.11	2.92	3.03	2.18	2.46	2.24
ENSG00000132793	LPIN3	1.81	4.35	3.84	3.8	2.32	2.5	2.98
ENSG00000075239	ACAT1	1.72	3.95	4.06	4.17	3.34	3.54	3.19
ENSG00000087008	ACOX3	1.64	2.86	3.25	3.15	2.45	2.33	2.57
ENSG00000105379	ETFB	1.62	3.87	3.88	3.89	3.25	3.25	3.17
ENSG00000117054	ACADM	1.61	4.21	4.22	4.54	3.77	3.75	3.33
ENSG00000111271	ACAD10	1.6	3.74	3.85	3.86	2.97	3.26	3.27
ENSG00000133835	HSD17B4	1.59	4.69	4.91	4.82	4.12	4.21	4.16
ENSG00000093217	XYLB	1.57	2.3	2.65	2.37	1.68	1.47	1.99
ENSG00000101473	ACOT8	1.57	3.27	3.21	3.16	2.61	2.59	2.61
ENSG00000072506	HSD17B10	1.55	3.76	4.09	4.08	3.29	3.45	3.35
ENSG00000143994	ABHD1	1.52	1.5	1.4	1.35	1.02	1.04	0.89
ENSG00000121310	ECHDC2	1.49	4.84	4.57	4.41	3.85	4.05	4.03
ENSG00000100294	MCAT	1.42	2.65	2.87	2.69	2.34	2.07	2.18
ENSG00000120437	ACAT2	1.41	4.19	4.04	4.38	3.75	3.58	3.6
ENSG00000100372	SLC25A17	1.4	2.6	2.98	2.75	1.91	2.39	2.25
ENSG00000175701	MTLN	1.27	2.27	2.43	2.25	1.82	1.92	1.86
ENSG00000242110	AMACR	1.19	1.56	1.72	2.08	1.3	1.24	1.23
ENSG00000105135	ILVBL	1.04	3.72	3.64	3.72	3.3	3.27	3.29
ENSG00000241935	HOGA1	0.97	1.06	0.88	1.18	0.88	0.78	0.72
ENSG00000127415	IDUA	0.94	3.12	3.12	2.77	2.51	2.69	2.75
