GeneID	Symbol
ENSG00000166816	LDHD
ENSG00000167799	NUDT8
ENSG00000113790	EHHADH
ENSG00000167315	ACAA2
ENSG00000005469	CROT
ENSG00000167969	ECI1
ENSG00000140284	SLC27A2
ENSG00000173208	ABCD2
ENSG00000198721	ECI2
ENSG00000095321	CRAT
ENSG00000138796	HADH
ENSG00000103066	PLA2G15
ENSG00000140876	NUDT7
ENSG00000101986	ABCD1
ENSG00000103876	FAH
ENSG00000164039	BDH2
ENSG00000105607	GCDH
ENSG00000097021	ACOT7
ENSG00000128928	IVD
ENSG00000117528	ABCD3
ENSG00000157184	CPT2
ENSG00000117480	FAAH
ENSG00000124370	MCEE
ENSG00000114054	PCCB
ENSG00000122971	ACADS
ENSG00000132793	LPIN3
ENSG00000075239	ACAT1
ENSG00000087008	ACOX3
ENSG00000105379	ETFB
ENSG00000117054	ACADM
ENSG00000111271	ACAD10
ENSG00000133835	HSD17B4
ENSG00000093217	XYLB
ENSG00000101473	ACOT8
ENSG00000072506	HSD17B10
ENSG00000143994	ABHD1
ENSG00000121310	ECHDC2
ENSG00000100294	MCAT
ENSG00000120437	ACAT2
ENSG00000100372	SLC25A17
ENSG00000175701	MTLN
ENSG00000242110	AMACR
ENSG00000105135	ILVBL
ENSG00000241935	HOGA1
ENSG00000127415	IDUA
ENSG00000142657	PGD
ENSG00000148057	IDNK
ENSG00000138029	HADHB
ENSG00000117448	AKR1A1
ENSG00000213965	NUDT19
ENSG00000060971	ACAA1
ENSG00000181092	ADIPOQ
ENSG00000116171	SCP2
ENSG00000240303	ACAD11
ENSG00000146416	AIG1
ENSG00000084754	HADHA
ENSG00000127884	ECHS1
ENSG00000093144	ECHDC1
ENSG00000140526	ABHD2
ENSG00000158201	ABHD3
ENSG00000072778	ACADVL
ENSG00000131373	HACL1
ENSG00000171503	ETFDH
ENSG00000164751	PEX2
ENSG00000119688	ABCD4
ENSG00000172482	AGXT
ENSG00000140374	ETFA
ENSG00000101577	LPIN2
ENSG00000107537	PHYH
ENSG00000175198	PCCA
ENSG00000134324	LPIN1
ENSG00000112033	PPARD
ENSG00000003137	CYP26B1
ENSG00000104325	DECR1
ENSG00000153093	ACOXL
ENSG00000148090	AUH
ENSG00000073067	CYP2W1
ENSG00000111863	ADTRP
ENSG00000161533	ACOX1
ENSG00000162928	PEX13
ENSG00000161533	ACOX1
ENSG00000168306	ACOX2
ENSG00000197601	FAR1
ENSG00000064763	FAR2
ENSG00000176894	PXMP2
ENSG00000101473	ACOT8
ENSG00000119673	ACOT2
ENSG00000101986	ABCD1
ENSG00000085662	AKR1B1
ENSG00000116906	GNPAT
ENSG00000181513	ACBD4
ENSG00000107897	ACBD5
ENSG00000132170	PPARG
ENSG00000186951	PPARA
